osgb4000000074541314,http://data.ordnancesurvey.co.uk/id/osgb4000000074541314,Warren,,,,populatedPlace,Hamlet,192925.640,197852.410,5000,25000,192656.551,197430.894,193395.778,197930.894,SA71,http://data.ordnancesurvey.co.uk/id/postcodedistrict/SA71,,,,,,,Sir Benfro - Pembrokeshire,http://data.ordnancesurvey.co.uk/id/7000000000025490,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,http://sws.geonames.org/2634746
osgb4000000074550528,http://data.ordnancesurvey.co.uk/id/osgb4000000074550528,Bosherston,,,,populatedPlace,Village,196577.950,194586.390,3000,250000,196312.485,194467.527,196817.248,194967.527,SA71,http://data.ordnancesurvey.co.uk/id/postcodedistrict/SA71,,,,,,,Sir Benfro - Pembrokeshire,http://data.ordnancesurvey.co.uk/id/7000000000025490,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,http://sws.geonames.org/2655142
osgb4000000074550905,http://data.ordnancesurvey.co.uk/id/osgb4000000074550905,St Twynnells,,,,populatedPlace,Village,194923.980,197623.990,3000,250000,194722.399,197363.813,195222.399,197863.813,SA71,http://data.ordnancesurvey.co.uk/id/postcodedistrict/SA71,,,,,,,Sir Benfro - Pembrokeshire,http://data.ordnancesurvey.co.uk/id/7000000000025490,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
osgb4000000074550530,http://data.ordnancesurvey.co.uk/id/osgb4000000074550530,Maiden Wells,,,,populatedPlace,Village,197146.000,199560.000,4000,250000,196870.247,199309.887,197463.051,199836.937,SA71,http://data.ordnancesurvey.co.uk/id/postcodedistrict/SA71,,,,,,,Sir Benfro - Pembrokeshire,http://data.ordnancesurvey.co.uk/id/7000000000025490,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
osgb4000000074550531,http://data.ordnancesurvey.co.uk/id/osgb4000000074550531,Chapel Hill,,,,populatedPlace,Hamlet,195760.080,198105.850,5000,25000,195509.456,197851.808,196009.456,198351.808,SA71,http://data.ordnancesurvey.co.uk/id/postcodedistrict/SA71,,,,,,,Sir Benfro - Pembrokeshire,http://data.ordnancesurvey.co.uk/id/7000000000025490,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
osgb4000000074550906,http://data.ordnancesurvey.co.uk/id/osgb4000000074550906,Castlemartin,,,,populatedPlace,Village,191261.260,198458.330,7000,250000,190651.962,198167.574,191717.389,198864.705,SA71,http://data.ordnancesurvey.co.uk/id/postcodedistrict/SA71,,,,,,,Sir Benfro - Pembrokeshire,http://data.ordnancesurvey.co.uk/id/7000000000025490,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,http://sws.geonames.org/2653568
osgb4000000074550904,http://data.ordnancesurvey.co.uk/id/osgb4000000074550904,Merrion,,,,populatedPlace,Other Settlement,193767.200,196987.170,15000,25000,193406.299,196462.882,194605.898,197312.599,SA71,http://data.ordnancesurvey.co.uk/id/postcodedistrict/SA71,,,,,,,Sir Benfro - Pembrokeshire,http://data.ordnancesurvey.co.uk/id/7000000000025490,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,http://sws.geonames.org/3345121
osgb4000000074550529,http://data.ordnancesurvey.co.uk/id/osgb4000000074550529,Stackpole Elidor,eng,Cheriton,eng,populatedPlace,Hamlet,198854.610,197272.420,5000,25000,198588.246,197043.005,199281.820,197543.005,SA71,http://data.ordnancesurvey.co.uk/id/postcodedistrict/SA71,,,,,,,Sir Benfro - Pembrokeshire,http://data.ordnancesurvey.co.uk/id/7000000000025490,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,http://sws.geonames.org/2653248
osgb4000000074550527,http://data.ordnancesurvey.co.uk/id/osgb4000000074550527,Stackpole,,,,populatedPlace,Village,198358.000,196370.000,3000,250000,198044.707,196113.042,198577.379,196649.339,SA71,http://data.ordnancesurvey.co.uk/id/postcodedistrict/SA71,,,,,,,Sir Benfro - Pembrokeshire,http://data.ordnancesurvey.co.uk/id/7000000000025490,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,http://sws.geonames.org/2637151
SA715DW,http://data.ordnancesurvey.co.uk/id/postcodeunit/SA715DW,SA71 5DW,,,,other,Postcode,196655.500,194632.200,3500,18000,,,,,,,Bosherston,http://data.ordnancesurvey.co.uk/id/4000000074550528,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Sir Benfro - Pembrokeshire,http://data.ordnancesurvey.co.uk/id/7000000000025490,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
SA715HU,http://data.ordnancesurvey.co.uk/id/postcodeunit/SA715HU,SA71 5HU,,,,other,Postcode,194360.900,197568.300,3500,18000,,,,,,,,,,,,,Sir Benfro - Pembrokeshire,http://data.ordnancesurvey.co.uk/id/7000000000025490,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
SA715HB,http://data.ordnancesurvey.co.uk/id/postcodeunit/SA715HB,SA71 5HB,,,,other,Postcode,193262.614,199155.071,3500,18000,,,,,,,,,,,,,Sir Benfro - Pembrokeshire,http://data.ordnancesurvey.co.uk/id/7000000000025490,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
SA715DP,http://data.ordnancesurvey.co.uk/id/postcodeunit/SA715DP,SA71 5DP,,,,other,Postcode,196479.400,194424.200,3500,18000,,,,,,,,,,,,,Sir Benfro - Pembrokeshire,http://data.ordnancesurvey.co.uk/id/7000000000025490,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
SA715EY,http://data.ordnancesurvey.co.uk/id/postcodeunit/SA715EY,SA71 5EY,,,,other,Postcode,196178.800,198852.000,3500,18000,,,,,,,,,,,,,Sir Benfro - Pembrokeshire,http://data.ordnancesurvey.co.uk/id/7000000000025490,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
