osgb4000000074552708,http://data.ordnancesurvey.co.uk/id/osgb4000000074552708,Whitburn,,,,populatedPlace,Town,440798.440,561942.980,17000,2000000,439740.386,561233.878,441272.748,563851.968,SR6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/SR6,,,,South Tyneside,http://data.ordnancesurvey.co.uk/id/7000000000009685,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,,,,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,http://sws.geonames.org/2634138
osgb4000000074308761,http://data.ordnancesurvey.co.uk/id/osgb4000000074308761,Seaburn,,,,populatedPlace,Suburban Area,440420.000,560193.000,6000,25000,440065.910,559729.678,440789.834,560609.796,SR6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/SR6,,,,Sunderland,http://data.ordnancesurvey.co.uk/id/7000000000009731,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,,,,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Seaburn,
osgb4000000074552707,http://data.ordnancesurvey.co.uk/id/osgb4000000074552707,South Bents,,,,populatedPlace,Village,440686.000,560852.000,5000,250000,440093.333,560695.002,440808.509,561240.976,SR6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/SR6,,,,Sunderland,http://data.ordnancesurvey.co.uk/id/7000000000009731,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,,,,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
SR67AR,http://data.ordnancesurvey.co.uk/id/postcodeunit/SR67AR,SR6 7AR,,,,other,Postcode,440588.700,562374.100,3500,18000,,,,,,,Whitburn,http://data.ordnancesurvey.co.uk/id/4000000074552708,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#town,South Tyneside,http://data.ordnancesurvey.co.uk/id/7000000000009685,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,,,,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
SR67NF,http://data.ordnancesurvey.co.uk/id/postcodeunit/SR67NF,SR6 7NF,,,,other,Postcode,440683.000,563735.700,3500,18000,,,,,,,Whitburn,http://data.ordnancesurvey.co.uk/id/4000000074552708,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#town,South Tyneside,http://data.ordnancesurvey.co.uk/id/7000000000009685,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,,,,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
SR67BU,http://data.ordnancesurvey.co.uk/id/postcodeunit/SR67BU,SR6 7BU,,,,other,Postcode,440741.600,561929.300,3500,18000,,,,,,,Whitburn,http://data.ordnancesurvey.co.uk/id/4000000074552708,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#town,South Tyneside,http://data.ordnancesurvey.co.uk/id/7000000000009685,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,,,,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
SR67JT,http://data.ordnancesurvey.co.uk/id/postcodeunit/SR67JT,SR6 7JT,,,,other,Postcode,440047.000,561705.900,3500,18000,,,,,,,Whitburn,http://data.ordnancesurvey.co.uk/id/4000000074552708,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#town,South Tyneside,http://data.ordnancesurvey.co.uk/id/7000000000009685,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,,,,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
SR67HW,http://data.ordnancesurvey.co.uk/id/postcodeunit/SR67HW,SR6 7HW,,,,other,Postcode,440819.600,563018.100,3500,18000,,,,,,,Whitburn,http://data.ordnancesurvey.co.uk/id/4000000074552708,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#town,South Tyneside,http://data.ordnancesurvey.co.uk/id/7000000000009685,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,,,,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
SR68DF,http://data.ordnancesurvey.co.uk/id/postcodeunit/SR68DF,SR6 8DF,,,,other,Postcode,440482.600,560048.900,3500,18000,,,,,,,Sunderland,http://data.ordnancesurvey.co.uk/id/4000000074553839,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#city,Sunderland,http://data.ordnancesurvey.co.uk/id/7000000000009731,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,,,,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
SR67NH,http://data.ordnancesurvey.co.uk/id/postcodeunit/SR67NH,SR6 7NH,,,,other,Postcode,440762.900,564158.400,3500,18000,,,,,,,,,,South Tyneside,http://data.ordnancesurvey.co.uk/id/7000000000009685,http://data.ordnancesurvey.co.uk/ontology/admingeo/MetropolitanDistrict,,,,North East,http://data.ordnancesurvey.co.uk/id/7000000000041422,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
