osgb4000000074573445,http://data.ordnancesurvey.co.uk/id/osgb4000000074573445,Newby,,,,populatedPlace,Suburban Area,501884.000,490021.000,10000,25000,500921.568,489038.923,502510.078,490512.062,YO12,http://data.ordnancesurvey.co.uk/id/postcodedistrict/YO12,,,,Scarborough,http://data.ordnancesurvey.co.uk/id/7000000000021355,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,North Yorkshire,http://data.ordnancesurvey.co.uk/id/7000000000022028,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Yorkshire and the Humber,http://data.ordnancesurvey.co.uk/id/7000000000041430,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074572423,http://data.ordnancesurvey.co.uk/id/osgb4000000074572423,Cayton,,,,populatedPlace,Suburban Area,505466.000,483386.000,8000,25000,504865.733,482965.482,506041.998,483804.832,YO11,http://data.ordnancesurvey.co.uk/id/postcodedistrict/YO11,,,,Scarborough,http://data.ordnancesurvey.co.uk/id/7000000000021355,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,North Yorkshire,http://data.ordnancesurvey.co.uk/id/7000000000022028,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Yorkshire and the Humber,http://data.ordnancesurvey.co.uk/id/7000000000041430,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Cayton,http://sws.geonames.org/2653459
osgb4000000074572767,http://data.ordnancesurvey.co.uk/id/osgb4000000074572767,Edgehill,,,,populatedPlace,Suburban Area,503121.000,486551.000,7000,25000,502762.903,485924.845,503262.903,486973.664,YO12,http://data.ordnancesurvey.co.uk/id/postcodedistrict/YO12,,,,Scarborough,http://data.ordnancesurvey.co.uk/id/7000000000021355,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,North Yorkshire,http://data.ordnancesurvey.co.uk/id/7000000000022028,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Yorkshire and the Humber,http://data.ordnancesurvey.co.uk/id/7000000000041430,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074573110,http://data.ordnancesurvey.co.uk/id/osgb4000000074573110,Prospect Mount,,,,populatedPlace,Suburban Area,502602.950,488831.340,4000,25000,502369.615,488573.285,502928.276,489073.285,YO12,http://data.ordnancesurvey.co.uk/id/postcodedistrict/YO12,,,,Scarborough,http://data.ordnancesurvey.co.uk/id/7000000000021355,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,North Yorkshire,http://data.ordnancesurvey.co.uk/id/7000000000022028,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Yorkshire and the Humber,http://data.ordnancesurvey.co.uk/id/7000000000041430,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074573111,http://data.ordnancesurvey.co.uk/id/osgb4000000074573111,Throxenby,,,,populatedPlace,Suburban Area,501497.200,489005.390,2000,25000,501244.010,488670.563,501744.010,489170.563,YO12,http://data.ordnancesurvey.co.uk/id/postcodedistrict/YO12,,,,Scarborough,http://data.ordnancesurvey.co.uk/id/7000000000021355,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,North Yorkshire,http://data.ordnancesurvey.co.uk/id/7000000000022028,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Yorkshire and the Humber,http://data.ordnancesurvey.co.uk/id/7000000000041430,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074543351,http://data.ordnancesurvey.co.uk/id/osgb4000000074543351,Eastfield,,,,populatedPlace,Suburban Area,504070.000,483707.000,16000,25000,502953.679,482998.292,505417.080,484579.140,YO11,http://data.ordnancesurvey.co.uk/id/postcodedistrict/YO11,,,,Scarborough,http://data.ordnancesurvey.co.uk/id/7000000000021355,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,North Yorkshire,http://data.ordnancesurvey.co.uk/id/7000000000022028,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Yorkshire and the Humber,http://data.ordnancesurvey.co.uk/id/7000000000041430,England,http://data.ordnancesurvey.co.uk/id/country/england,,"http://dbpedia.org/resource/Eastfield,_North_Yorkshire",
osgb4000000074572425,http://data.ordnancesurvey.co.uk/id/osgb4000000074572425,Crossgates,,,,populatedPlace,Suburban Area,502907.000,483996.000,7000,25000,502382.857,483348.002,503390.758,484437.450,YO12,http://data.ordnancesurvey.co.uk/id/postcodedistrict/YO12,,,,Scarborough,http://data.ordnancesurvey.co.uk/id/7000000000021355,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,North Yorkshire,http://data.ordnancesurvey.co.uk/id/7000000000022028,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Yorkshire and the Humber,http://data.ordnancesurvey.co.uk/id/7000000000041430,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074573790,http://data.ordnancesurvey.co.uk/id/osgb4000000074573790,Cloughton,,,,populatedPlace,Village,500980.000,494716.000,8000,250000,500608.000,493827.413,501269.361,495001.996,YO13,http://data.ordnancesurvey.co.uk/id/postcodedistrict/YO13,,,,Scarborough,http://data.ordnancesurvey.co.uk/id/7000000000021355,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,North Yorkshire,http://data.ordnancesurvey.co.uk/id/7000000000022028,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Yorkshire and the Humber,http://data.ordnancesurvey.co.uk/id/7000000000041430,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Cloughton,http://sws.geonames.org/2652781
osgb4000000074572766,http://data.ordnancesurvey.co.uk/id/osgb4000000074572766,South Cliff,,,,populatedPlace,Suburban Area,504123.000,487949.000,10000,25000,504061.452,486739.851,504969.984,488293.017,YO11,http://data.ordnancesurvey.co.uk/id/postcodedistrict/YO11,,,,Scarborough,http://data.ordnancesurvey.co.uk/id/7000000000021355,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,North Yorkshire,http://data.ordnancesurvey.co.uk/id/7000000000022028,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Yorkshire and the Humber,http://data.ordnancesurvey.co.uk/id/7000000000041430,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074572762,http://data.ordnancesurvey.co.uk/id/osgb4000000074572762,Irton,,,,populatedPlace,Village,501013.520,484438.690,9000,250000,500300.575,483908.982,501467.630,485366.435,YO12,http://data.ordnancesurvey.co.uk/id/postcodedistrict/YO12,,,,Scarborough,http://data.ordnancesurvey.co.uk/id/7000000000021355,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,North Yorkshire,http://data.ordnancesurvey.co.uk/id/7000000000022028,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,Yorkshire and the Humber,http://data.ordnancesurvey.co.uk/id/7000000000041430,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Irton,
