osgb4000000074580129,http://data.ordnancesurvey.co.uk/id/osgb4000000074580129,Turnastone,,,,populatedPlace,Hamlet,335727.690,236413.920,5000,25000,335477.596,236164.426,335977.596,236664.426,HR2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HR2,,,,,,,County of Herefordshire,http://data.ordnancesurvey.co.uk/id/7000000000038904,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,West Midlands,http://data.ordnancesurvey.co.uk/id/7000000000041426,England,http://data.ordnancesurvey.co.uk/id/country/england,,,http://sws.geonames.org/2635343
osgb4000000074579644,http://data.ordnancesurvey.co.uk/id/osgb4000000074579644,Abbey Dore,,,,populatedPlace,Village,338538.060,230489.460,9000,250000,338030.005,229706.656,339160.857,231038.445,HR2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HR2,,,,,,,County of Herefordshire,http://data.ordnancesurvey.co.uk/id/7000000000038904,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,West Midlands,http://data.ordnancesurvey.co.uk/id/7000000000041426,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Abbey_Dore,http://sws.geonames.org/2657876
osgb4000000074579521,http://data.ordnancesurvey.co.uk/id/osgb4000000074579521,Monmouth Cap,,,,populatedPlace,Hamlet,339354.110,226189.530,5000,25000,339105.205,226005.549,339605.205,226505.549,NP7,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NP7,,,,,,,Sir Fynwy - Monmouthshire,http://data.ordnancesurvey.co.uk/id/7000000000025489,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
osgb4000000074580131,http://data.ordnancesurvey.co.uk/id/osgb4000000074580131,Llanveynoe,,,,populatedPlace,Hamlet,330619.520,231098.180,5000,25000,330205.335,230816.249,330939.294,231515.019,HR2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HR2,,,,,,,County of Herefordshire,http://data.ordnancesurvey.co.uk/id/7000000000038904,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,West Midlands,http://data.ordnancesurvey.co.uk/id/7000000000041426,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Llanveynoe,http://sws.geonames.org/2643925
osgb4000000074579527,http://data.ordnancesurvey.co.uk/id/osgb4000000074579527,Ewyas Harold,,,,populatedPlace,Village,338862.000,228567.000,11000,250000,338508.911,227468.667,339612.134,229169.670,HR2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HR2,,,,,,,County of Herefordshire,http://data.ordnancesurvey.co.uk/id/7000000000038904,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,West Midlands,http://data.ordnancesurvey.co.uk/id/7000000000041426,England,http://data.ordnancesurvey.co.uk/id/country/england,,,http://sws.geonames.org/2649815
osgb4000000074579293,http://data.ordnancesurvey.co.uk/id/osgb4000000074579293,Hinton,,,,populatedPlace,Village,333933.590,238848.790,9000,250000,332834.504,238518.264,334277.282,239141.626,HR2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HR2,,,,,,,County of Herefordshire,http://data.ordnancesurvey.co.uk/id/7000000000038904,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,West Midlands,http://data.ordnancesurvey.co.uk/id/7000000000041426,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074578576,http://data.ordnancesurvey.co.uk/id/osgb4000000074578576,Llanvihangel Crucorney,,,,populatedPlace,Village,332619.000,220673.000,5000,250000,332312.385,220362.341,333061.564,221109.327,NP7,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NP7,,,,,,,Sir Fynwy - Monmouthshire,http://data.ordnancesurvey.co.uk/id/7000000000025489,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,http://dbpedia.org/resource/Llanvihangel_Crucorney,http://sws.geonames.org/2643924
osgb4000000074569165,http://data.ordnancesurvey.co.uk/id/osgb4000000074569165,Llangua,,,,populatedPlace,Other Settlement,339294.000,225862.000,15000,25000,339066.664,225532.030,339566.664,226032.030,NP7,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NP7,,,,,,,Sir Fynwy - Monmouthshire,http://data.ordnancesurvey.co.uk/id/7000000000025489,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,,
osgb4000000074578708,http://data.ordnancesurvey.co.uk/id/osgb4000000074578708,Tyberton,,,,populatedPlace,Hamlet,338184.300,239633.960,5000,25000,337670.570,239543.791,338389.441,240207.371,HR2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HR2,,,,,,,County of Herefordshire,http://data.ordnancesurvey.co.uk/id/7000000000038904,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,West Midlands,http://data.ordnancesurvey.co.uk/id/7000000000041426,England,http://data.ordnancesurvey.co.uk/id/country/england,,,http://sws.geonames.org/2635288
osgb4000000074578573,http://data.ordnancesurvey.co.uk/id/osgb4000000074578573,Llangattock Lingoed,,,,populatedPlace,Hamlet,336380.090,220212.500,5000,25000,335948.876,219890.074,336448.876,220390.074,NP7,http://data.ordnancesurvey.co.uk/id/postcodedistrict/NP7,,,,,,,Sir Fynwy - Monmouthshire,http://data.ordnancesurvey.co.uk/id/7000000000025489,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Wales,http://data.ordnancesurvey.co.uk/id/7000000000041424,Wales,http://data.ordnancesurvey.co.uk/id/country/wales,,http://dbpedia.org/resource/Llangattock_Lingoed,http://sws.geonames.org/2644040
